2026-06-27 09:18:28,564 | INFO     | src.fetcher | Requesting https://rumbomundo.com/how-to-prepare-for-a-hiking-trip-in-iceland
2026-06-27 09:18:29,034 | DEBUG    | src.fetcher | Response 200 in 0.47s (153036 bytes, final URL: https://rumbomundo.com/how-to-prepare-for-a-hiking-trip-in-iceland/)
2026-06-27 09:18:29,046 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:29,047 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:29,056 | INFO     | src.parser | Parsed content: 48330 characters
2026-06-27 09:18:29,063 | DEBUG    | src.parser | Found 116 same-domain link(s)
2026-06-27 09:18:29,568 | INFO     | src.crawler | [15/60] depth 1: https://rumbomundo.com/top-10-things-in-iceland
2026-06-27 09:18:29,568 | INFO     | src.fetcher | Requesting https://rumbomundo.com/top-10-things-in-iceland
2026-06-27 09:18:30,051 | DEBUG    | src.fetcher | Response 200 in 0.48s (134648 bytes, final URL: https://rumbomundo.com/top-10-things-in-iceland/)
2026-06-27 09:18:30,062 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:30,062 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:30,079 | INFO     | src.parser | Parsed content: 25761 characters
2026-06-27 09:18:30,088 | DEBUG    | src.parser | Found 116 same-domain link(s)
2026-06-27 09:18:30,591 | INFO     | src.crawler | [16/60] depth 1: https://rumbomundo.com/top-10-attractions-on-iceland-route-1-10-extras-nearby
2026-06-27 09:18:30,591 | INFO     | src.fetcher | Requesting https://rumbomundo.com/top-10-attractions-on-iceland-route-1-10-extras-nearby
2026-06-27 09:18:31,052 | DEBUG    | src.fetcher | Response 200 in 0.46s (128267 bytes, final URL: https://rumbomundo.com/top-10-attractions-on-iceland-route-1-10-extras-nearby/)
2026-06-27 09:18:31,064 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:31,064 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:31,071 | INFO     | src.parser | Parsed content: 22251 characters
2026-06-27 09:18:31,078 | DEBUG    | src.parser | Found 126 same-domain link(s)
